item name 2023-09-18 09:00:43,2023-09-18 17:31:36,m/s,℃,6.0,5107,0.08:30:54.6
conditions

Hub No ,HUB01-01CH,HUB01-01CH,HUB01-01CH,HUB01-02CH,HUB01-02CH,HUB01-02CH,HUB01-03CH,HUB01-03CH,HUB01-03CH,HUB01-04CH,HUB01-04CH,HUB01-04CH,HUB01-05CH,HUB01-05CH,HUB01-05CH,HUB01-06CH,HUB01-06CH,HUB01-06CH,HUB01-07CH,HUB01-07CH,HUB01-07CH,HUB01-08CH,HUB01-08CH,HUB01-08CH,HUB01-09CH,HUB01-09CH,HUB01-09CH,HUB01-10CH,HUB01-10CH,HUB01-10CH,HUB01-11CH,HUB01-11CH,HUB01-11CH,HUB01-12CH,HUB01-12CH,HUB01-12CH
Data 1319-0.02:11:54.0 ,1.27,27.30,60.30,1.25,27.20,61.70,1.10,27.10,62.20,1.39,27.10,63.60,0.98,27.10,61.10,1.06,26.90,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1320-0.02:12:00.0 ,1.01,27.30,60.20,1.09,27.30,61.60,1.27,27.10,62.20,1.29,27.00,63.50,1.03,27.00,61.00,0.64,26.80,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1321-0.02:12:06.0 ,0.85,27.30,60.20,1.18,27.20,61.60,1.42,27.00,62.10,1.42,26.90,63.50,0.66,27.10,61.00,0.70,26.80,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1322-0.02:12:12.0 ,1.04,27.30,60.20,0.83,27.10,61.70,1.44,27.00,62.00,0.89,26.90,63.50,0.57,27.10,61.10,0.95,27.00,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1323-0.02:12:18.0 ,0.73,27.20,60.20,1.00,27.20,61.60,1.16,27.00,62.10,1.16,26.90,63.40,0.80,27.10,61.10,0.51,26.90,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1324-0.02:12:24.0 ,1.24,27.30,60.30,0.99,27.10,61.60,1.11,27.00,62.10,0.92,27.00,63.30,0.50,27.00,61.10,0.71,26.80,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1325-0.02:12:30.0 ,0.72,27.30,60.30,1.08,27.10,61.50,0.97,27.00,62.10,0.77,26.90,63.40,0.73,27.20,61.00,0.76,26.80,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1326-0.02:12:36.0 ,1.18,27.30,60.20,0.91,27.10,61.50,1.17,27.00,62.10,0.93,26.90,63.40,0.72,27.10,61.00,0.75,26.80,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1327-0.02:12:42.0 ,0.94,27.20,60.20,1.28,27.10,61.50,1.15,27.00,62.00,1.27,26.90,63.40,0.55,27.20,60.80,0.52,26.80,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1328-0.02:12:48.0 ,0.98,27.30,60.20,0.75,27.10,61.50,1.25,26.90,62.00,0.99,26.90,63.40,0.79,27.10,60.80,0.66,26.80,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1329-0.02:12:54.0 ,1.12,27.10,60.20,0.82,27.10,61.50,0.95,26.90,62.00,1.03,26.80,63.30,0.51,27.00,60.80,0.58,26.70,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1330-0.02:13:00.0 ,1.09,27.20,60.20,0.69,27.00,61.50,1.04,26.90,62.00,1.19,26.90,63.30,0.55,27.10,60.80,0.83,26.80,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1331-0.02:13:06.0 ,0.63,27.10,60.20,0.90,26.90,61.50,0.85,26.90,62.00,0.82,26.80,63.30,0.68,27.10,60.80,0.65,26.70,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1332-0.02:13:12.0 ,0.87,27.20,60.10,0.69,27.00,61.50,1.41,26.80,61.90,1.00,26.90,63.30,0.56,27.00,60.70,0.41,26.60,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1333-0.02:13:18.0 ,1.02,27.20,60.20,0.78,27.00,61.50,0.90,26.80,61.90,1.22,26.90,63.30,0.40,27.10,60.70,0.55,26.70,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1334-0.02:13:24.0 ,0.48,27.20,60.10,0.87,27.00,61.40,0.95,26.90,61.90,0.77,26.80,63.30,0.87,27.10,60.60,0.85,26.70,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1335-0.02:13:30.0 ,0.72,27.20,60.10,0.99,26.90,61.30,1.35,26.90,61.90,1.10,26.80,63.20,0.58,27.00,60.60,0.63,26.60,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1336-0.02:13:36.0 ,0.71,27.10,60.00,1.02,27.00,61.30,0.91,26.90,61.90,1.02,26.80,63.30,0.89,26.90,60.60,0.65,26.60,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1337-0.02:13:42.0 ,0.96,27.10,60.00,0.76,27.00,61.30,1.22,26.90,61.90,0.36,26.80,63.30,0.62,26.90,60.60,0.58,26.60,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1338-0.02:13:48.0 ,0.93,27.10,60.00,0.90,26.90,61.30,0.91,26.80,61.80,0.79,26.90,63.30,0.76,26.90,60.60,0.64,26.60,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1339-0.02:13:54.0 ,0.69,27.20,59.90,0.71,26.80,61.20,1.15,26.70,61.80,1.13,26.90,63.20,1.10,26.90,60.60,0.99,26.60,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1340-0.02:14:00.0 ,0.72,27.10,59.90,0.68,26.80,61.40,1.11,26.80,61.80,1.17,26.90,63.10,0.78,26.80,60.60,0.58,26.60,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1341-0.02:14:06.0 ,0.98,27.10,59.90,0.68,26.80,61.40,1.19,26.70,61.80,1.09,26.90,63.00,0.88,26.90,60.60,0.89,26.60,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1342-0.02:14:12.0 ,0.78,27.10,59.80,0.85,26.90,61.30,0.94,26.70,61.80,0.74,26.80,63.00,0.87,26.90,60.60,0.54,26.60,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1343-0.02:14:18.0 ,0.96,27.00,59.80,0.76,26.90,61.30,0.96,26.70,61.80,1.26,26.80,62.90,0.70,26.90,60.60,0.63,26.60,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1344-0.02:14:24.0 ,0.81,27.00,59.80,0.91,26.90,61.20,0.93,26.80,61.70,0.58,26.80,62.90,0.78,26.80,60.50,0.33,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1345-0.02:14:30.0 ,0.86,27.10,59.90,0.64,26.80,61.20,0.95,26.80,61.80,0.82,26.60,62.80,0.75,26.90,60.40,0.53,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1346-0.02:14:36.0 ,0.63,26.90,59.80,0.69,26.80,61.20,0.91,26.80,61.70,1.23,26.60,62.80,0.54,27.00,60.40,0.49,26.50,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1347-0.02:14:42.0 ,0.75,26.90,59.80,0.83,26.80,61.20,0.90,26.80,61.70,0.79,26.70,62.90,0.47,26.90,60.40,0.48,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1348-0.02:14:48.0 ,0.83,27.00,59.80,0.85,26.90,61.20,0.80,26.80,61.70,0.87,26.60,62.80,0.66,26.90,60.30,0.47,26.60,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1349-0.02:14:54.0 ,0.61,26.90,59.80,0.92,26.80,61.20,1.01,26.80,61.60,0.44,26.60,62.80,0.71,26.90,60.20,0.71,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1350-0.02:15:00.0 ,0.70,26.90,59.80,0.71,26.80,61.20,0.92,26.80,61.60,0.93,26.70,62.80,0.57,26.80,60.30,0.76,26.50,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1351-0.02:15:06.0 ,0.73,26.90,59.80,0.85,26.80,61.20,1.01,26.70,61.60,0.95,26.60,62.80,0.91,26.80,60.30,0.68,26.50,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1352-0.02:15:12.0 ,0.60,26.90,59.80,0.77,26.80,61.20,0.73,26.70,61.60,0.91,26.60,62.70,0.66,26.90,60.40,0.67,26.60,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1353-0.02:15:18.0 ,0.76,26.90,59.80,0.71,26.80,61.20,0.98,26.70,61.50,0.84,26.60,62.70,0.61,26.90,60.50,0.51,26.60,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1354-0.02:15:24.0 ,0.58,26.80,59.80,0.80,26.80,61.20,0.95,26.70,61.60,0.97,26.50,62.70,0.67,26.90,60.50,0.78,26.60,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1355-0.02:15:30.0 ,0.86,26.90,59.70,0.75,26.70,61.20,0.80,26.70,61.60,0.90,26.50,62.80,0.35,26.80,60.50,0.64,26.50,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1356-0.02:15:36.0 ,0.69,27.00,59.70,0.87,26.70,61.20,1.29,26.70,61.50,0.89,26.50,62.90,0.48,26.80,60.40,0.41,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1357-0.02:15:42.0 ,0.85,26.90,59.70,0.75,26.70,61.20,0.93,26.60,61.50,0.91,26.60,62.90,0.45,26.90,60.30,0.48,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1358-0.02:15:48.0 ,0.73,26.90,59.70,1.03,26.80,61.20,0.77,26.60,61.50,0.82,26.40,62.90,0.70,26.90,60.30,0.66,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1359-0.02:15:54.0 ,0.51,26.90,59.70,0.57,26.70,61.20,0.91,26.70,61.50,1.07,26.50,62.90,0.63,26.80,60.20,0.77,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1360-0.02:16:00.0 ,1.00,26.90,59.70,0.67,26.70,61.20,0.85,26.60,61.50,0.67,26.30,62.90,0.88,26.70,60.20,0.47,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1361-0.02:16:06.0 ,0.70,26.80,59.70,0.80,26.70,61.10,1.28,26.70,61.50,0.87,26.40,62.90,0.83,26.80,60.30,0.53,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1362-0.02:16:12.0 ,0.50,26.80,59.60,1.10,26.70,61.20,0.86,26.60,61.50,0.91,26.30,62.90,0.43,26.70,60.30,0.72,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1363-0.02:16:18.0 ,0.66,26.90,59.60,0.74,26.70,61.20,1.04,26.60,61.40,0.92,26.30,62.90,0.37,26.70,60.30,0.65,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1364-0.02:16:24.0 ,0.54,26.80,59.60,0.82,26.70,61.10,0.57,26.70,61.50,0.76,26.40,62.90,0.40,26.70,60.20,0.61,26.40,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1365-0.02:16:30.0 ,0.85,26.80,59.50,0.85,26.60,61.00,0.90,26.70,61.40,0.54,26.30,62.80,0.56,26.70,60.20,0.27,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1366-0.02:16:36.0 ,0.35,26.70,59.50,0.51,26.60,61.00,0.87,26.60,61.30,0.93,26.30,62.80,0.80,26.60,60.20,0.59,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1367-0.02:16:42.0 ,0.52,26.80,59.50,0.63,26.70,61.10,0.78,26.60,61.30,1.05,26.30,62.90,0.64,26.60,60.20,0.30,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1368-0.02:16:48.0 ,0.48,26.80,59.60,0.54,26.60,61.10,0.91,26.60,61.30,0.83,26.20,62.90,0.67,26.60,60.20,0.37,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1369-0.02:16:54.0 ,0.60,26.80,59.60,0.66,26.60,61.10,0.52,26.60,61.30,0.89,26.20,62.90,0.55,26.60,60.20,0.70,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1370-0.02:17:00.0 ,0.79,26.80,59.50,0.69,26.70,61.10,0.75,26.60,61.30,0.83,26.20,62.90,0.73,26.70,60.20,0.66,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1371-0.02:17:06.0 ,0.59,26.80,59.50,0.50,26.50,61.10,0.84,26.60,61.30,0.71,26.30,62.90,0.40,26.70,60.20,0.44,26.50,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1372-0.02:17:12.0 ,0.40,26.60,59.50,0.62,26.50,61.00,0.75,26.60,61.30,0.86,26.20,62.90,0.65,26.70,60.20,0.33,26.40,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1373-0.02:17:18.0 ,0.47,26.70,59.60,0.87,26.60,61.00,0.79,26.60,61.40,0.70,26.20,62.90,0.59,26.60,60.20,0.41,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1374-0.02:17:24.0 ,0.78,26.80,59.60,0.77,26.60,61.00,0.57,26.60,61.40,0.62,26.10,62.90,0.43,26.70,60.30,0.56,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1375-0.02:17:30.0 ,0.80,26.70,59.60,0.40,26.50,61.00,0.84,26.60,61.30,0.48,26.20,62.90,0.27,26.60,60.30,0.31,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1376-0.02:17:36.0 ,0.68,26.70,59.70,0.84,26.60,60.90,0.70,26.50,61.30,0.81,26.20,63.00,0.42,26.60,60.30,0.48,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1377-0.02:17:42.0 ,0.61,26.70,59.70,0.71,26.50,60.90,0.75,26.50,61.40,0.43,26.20,63.10,0.67,26.60,60.30,0.43,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1378-0.02:17:48.0 ,0.42,26.60,59.70,0.43,26.60,60.90,0.83,26.50,61.40,0.40,26.20,63.10,0.53,26.60,60.30,0.56,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1379-0.02:17:54.0 ,0.81,26.70,59.80,0.66,26.50,61.00,0.60,26.50,61.40,0.66,26.30,63.20,0.37,26.60,60.30,0.46,26.40,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1380-0.02:18:00.0 ,0.79,26.60,59.70,0.75,26.50,61.10,0.73,26.50,61.40,0.44,26.30,63.20,0.45,26.70,60.30,0.22,26.50,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1381-0.02:18:06.0 ,0.52,26.60,59.70,0.63,26.50,61.20,0.75,26.50,61.30,0.43,26.30,63.20,0.61,26.60,60.30,0.74,26.40,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1382-0.02:18:12.0 ,0.42,26.60,59.70,0.54,26.50,61.30,0.84,26.50,61.40,0.56,26.20,63.10,0.89,26.60,60.30,0.55,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1383-0.02:18:18.0 ,0.69,26.60,59.70,0.44,26.50,61.20,0.57,26.50,61.40,0.29,26.20,63.10,0.71,26.50,60.40,0.64,26.40,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1384-0.02:18:24.0 ,0.53,26.60,59.70,0.83,26.50,61.10,0.80,26.50,61.40,0.56,26.20,63.20,0.72,26.40,60.30,0.80,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1385-0.02:18:30.0 ,0.41,26.60,59.70,0.47,26.50,61.20,0.76,26.50,61.50,0.36,26.30,63.30,0.68,26.50,60.30,0.45,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1386-0.02:18:36.0 ,0.53,26.60,59.70,0.54,26.50,61.20,0.80,26.60,61.50,0.68,26.30,63.30,0.80,26.40,60.40,0.78,26.20,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1387-0.02:18:42.0 ,0.46,26.60,59.70,0.64,26.50,61.20,0.60,26.60,61.40,0.65,26.20,63.20,0.71,26.40,60.50,0.56,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1388-0.02:18:48.0 ,0.64,26.60,59.80,0.79,26.50,61.20,0.79,26.60,61.40,0.80,26.10,63.20,0.82,26.50,60.50,0.43,26.40,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1389-0.02:18:54.0 ,0.51,26.60,59.90,0.52,26.40,61.20,0.74,26.60,61.40,0.97,26.20,63.30,0.52,26.40,60.50,0.53,26.30,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1390-0.02:19:00.0 ,0.35,26.50,59.90,0.63,26.40,61.20,0.82,26.50,61.40,0.55,26.20,63.30,0.62,26.50,60.60,0.54,26.20,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1391-0.02:19:06.0 ,0.75,26.60,59.90,0.83,26.50,61.20,0.87,26.40,61.40,0.76,26.20,63.30,0.57,26.60,60.60,0.47,26.20,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1392-0.02:19:12.0 ,0.55,26.50,59.90,0.62,26.50,61.20,0.73,26.40,61.40,0.72,26.10,63.30,0.68,26.60,60.60,0.66,26.30,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1393-0.02:19:18.0 ,0.35,26.50,59.90,0.68,26.50,61.30,0.83,26.40,61.50,0.73,26.20,63.30,0.70,26.60,60.60,0.23,26.20,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1394-0.02:19:24.0 ,0.79,26.50,59.90,0.73,26.50,61.20,0.84,26.50,61.50,0.68,26.30,63.30,0.65,26.40,60.60,0.56,26.40,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1395-0.02:19:30.0 ,0.38,26.40,60.00,0.91,26.50,61.20,0.76,26.40,61.60,0.50,26.30,63.30,0.78,26.40,60.60,0.67,26.50,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1396-0.02:19:36.0 ,0.56,26.30,60.00,0.76,26.50,61.30,0.77,26.40,61.50,0.74,26.20,63.20,0.72,26.50,60.60,0.40,26.30,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1397-0.02:19:42.0 ,0.67,26.40,60.00,0.79,26.50,61.30,0.77,26.50,61.50,0.94,26.10,63.30,0.82,26.40,60.60,0.43,26.30,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1398-0.02:19:48.0 ,0.53,26.40,60.00,0.71,26.50,61.40,0.51,26.50,61.50,0.68,26.00,63.40,0.65,26.40,60.60,0.59,26.30,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1399-0.02:19:54.0 ,0.52,26.30,60.10,0.64,26.50,61.50,0.85,26.40,61.50,0.65,26.00,63.40,0.77,26.40,60.70,0.66,26.30,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1400-0.02:20:00.0 ,0.54,26.40,60.10,0.66,26.50,61.50,1.03,26.50,61.50,0.66,26.00,63.40,0.81,26.40,60.70,0.74,26.30,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1401-0.02:20:06.0 ,0.44,26.30,60.10,0.79,26.50,61.40,0.60,26.50,61.50,0.87,26.10,63.30,0.53,26.40,60.70,0.62,26.20,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1402-0.02:20:12.0 ,0.61,26.30,60.10,0.63,26.40,61.30,0.69,26.50,61.50,0.81,26.20,63.40,0.85,26.40,60.70,0.60,26.40,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1403-0.02:20:18.0 ,0.54,26.30,60.10,0.72,26.40,61.40,0.74,26.50,61.30,0.81,26.20,63.40,0.74,26.40,60.70,0.64,26.50,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1404-0.02:20:24.0 ,0.47,26.40,60.10,0.60,26.50,61.50,0.68,26.40,61.30,1.00,26.10,63.40,0.83,26.40,60.70,0.53,26.30,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1405-0.02:20:30.0 ,0.54,26.40,60.20,0.50,26.30,61.50,0.64,26.40,61.40,0.81,26.00,63.50,0.67,26.40,60.80,0.47,26.30,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1406-0.02:20:36.0 ,0.68,26.30,60.20,0.68,26.40,61.50,0.89,26.40,61.40,0.86,26.20,63.60,0.73,26.40,60.80,0.38,26.30,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1407-0.02:20:42.0 ,0.43,26.30,60.20,0.60,26.50,61.50,0.70,26.40,61.50,0.83,26.20,63.50,0.60,26.40,60.80,0.56,26.30,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1408-0.02:20:48.0 ,0.44,26.30,60.20,0.45,26.40,61.50,0.39,26.40,61.50,0.82,26.30,63.50,0.33,26.30,60.90,0.70,26.30,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1409-0.02:20:54.0 ,0.49,26.30,60.20,0.83,26.40,61.50,0.84,26.50,61.40,0.65,26.30,63.40,0.57,26.40,60.90,0.62,26.20,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1410-0.02:21:00.0 ,0.77,26.30,60.20,0.56,26.40,61.50,0.84,26.50,61.40,0.92,26.20,63.30,0.39,26.40,60.80,0.58,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1411-0.02:21:06.0 ,0.51,26.30,60.30,0.38,26.30,61.50,0.41,26.40,61.50,0.59,26.10,63.40,0.55,26.40,60.80,0.64,26.40,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1412-0.02:21:12.0 ,0.65,26.40,60.40,0.61,26.40,61.50,0.70,26.40,61.40,0.77,26.10,63.50,0.28,26.40,60.80,0.39,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1413-0.02:21:18.0 ,0.58,26.30,60.40,0.51,26.30,61.50,0.75,26.40,61.40,0.75,26.00,63.50,0.24,26.40,60.80,0.29,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1414-0.02:21:24.0 ,0.53,26.20,60.40,0.54,26.40,61.50,0.70,26.40,61.40,0.80,26.10,63.40,0.44,26.40,60.80,0.44,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1415-0.02:21:30.0 ,0.52,26.30,60.40,0.33,26.30,61.50,0.60,26.40,61.40,0.90,26.20,63.50,0.69,26.50,60.70,0.28,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1416-0.02:21:36.0 ,0.65,26.40,60.30,0.53,26.30,61.40,0.62,26.50,61.30,0.91,26.30,63.50,0.18,26.40,60.70,0.41,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1417-0.02:21:42.0 ,0.69,26.30,60.30,0.61,26.30,61.40,0.45,26.40,61.40,0.71,26.00,63.40,0.51,26.50,60.70,0.36,26.30,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1418-0.02:21:48.0 ,0.63,26.30,60.30,0.63,26.30,61.40,0.51,26.40,61.40,0.80,26.10,63.50,0.73,26.50,60.70,0.34,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1419-0.02:21:54.0 ,0.58,26.30,60.40,0.67,26.30,61.50,0.80,26.40,61.40,0.99,26.10,63.50,0.57,26.40,60.70,0.43,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1420-0.02:22:00.0 ,0.63,26.30,60.50,0.67,26.40,61.50,0.77,26.40,61.40,0.81,26.00,63.50,0.68,26.40,60.70,0.57,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1421-0.02:22:06.0 ,0.49,26.30,60.50,0.58,26.30,61.50,0.83,26.40,61.40,0.69,25.90,63.60,0.62,26.20,60.70,0.23,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1422-0.02:22:12.0 ,0.51,26.20,60.50,0.67,26.30,61.40,0.44,26.40,61.50,0.70,26.00,63.70,0.49,26.30,60.70,0.36,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1423-0.02:22:18.0 ,0.39,26.20,60.50,0.55,26.30,61.40,0.60,26.40,61.50,0.65,25.90,63.70,0.47,26.40,60.70,0.47,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1424-0.02:22:24.0 ,0.64,26.30,60.50,0.70,26.40,61.50,0.54,26.40,61.50,0.92,26.00,63.70,0.54,26.40,60.70,0.56,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1425-0.02:22:30.0 ,0.71,26.30,60.60,0.55,26.40,61.50,0.60,26.40,61.40,0.60,26.00,63.70,0.44,26.40,60.80,0.55,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1426-0.02:22:36.0 ,0.40,26.20,60.60,0.49,26.40,61.50,0.45,26.40,61.40,0.77,26.10,63.70,0.77,26.40,60.80,0.30,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
